ID,KEYS,VALUES
10,Limit the number of rows that can be selected to one.,"a!localVariables(local!selection,local!selectedRows,{/*Gridswithselectionshouldalwayshaveasecondarydisplayofthatselectionwhenthereispagingsousersarealwaysabletoseetheirselectionsevenwhenthatselectionisnotonthecurrent,visiblepage.*/a!gridField(label:""Single Selection"",labelPosition:""ABOVE"",data:recordType!Employee,columns:{a!gridColumn(label:""ID"",sortField:recordType!Employee.fields.id,value:fv!row[recordType!Employee.fields.id],align:""END"",width:""ICON""),a!gridColumn(label:""Name"",sortField:recordType!Employee.fields.lastName,value:fv!row[recordType!Employee.fields.firstName]&"" ""&fv!row[recordType!Employee.fields.lastName]),a!gridColumn(label:""Title"",sortField:recordType!Employee.fields.title,value:fv!row[recordType!Employee.fields.title])},pageSize:5,selectable:true,selectionstyle:""ROW_HIGHLIGHT"",selectionvalue:local!selection,selectionSaveInto:{/*Herewesavefv!selectedRowstolocal!selectedRows.Toensurethatonlyasinglerowisselectedwhentheuserclickstooquickly,weusetheindex()functiontoreturnonlythelastselectedvalue.*/a!save(local!selectedRows,index(fv!selectedRows,length(fv!selectedRows),null)),a!save(local!selection,index(save!value,length(save!value),null))},validations:{},showSearchBox:false,showRefreshButton:false,recordActions:{})})"
11,"Display the membership tree for a given group and provide users with the ability to add, remove, and move user members from a single interface.","a!localVariables(local!selectionValue,local!isUserSelected:runtimetypeof(local!selectionValue)='type! {http://www.appian.com/ae/types/2009}User',local!actionTaken:if(isnull(ri!btnAction),false,or(ri!btnAction=""ADD"",ri!btnAction=""MOVE"")),local!navigationLength:if(isnull(ri!navigationPath),0,length(ri!navigationPath)),a!formLayout(label:""Manage Group Membership"",contents:{/*Ifyouusethisasarelatedaction,ratherthanusingthispickertochoosetheinitalgroup,youwouldpassitinascontextfortheaction.*/a!pickerFieldGroups(label:""Select a group to view its members"",maxSelections:1,value:ri!initialGroup,saveInto:{ri!initialGroup,a!save({ri!btnAction,ri!userToRemove,ri!userToMove,ri!addedToGroup,ri!removeFromGroup,ri!navigationPath,ri!moveFromGroup,ri!moveToGroup,ri!usersToAdd,local!selectionValue},null)}),a!sectionLayout(showWhen:not(isnull(ri!initialGroup)),label:group(ri!initialGroup,""groupName"")&"" Group Members"",contents:{a!buttonArrayLayout(buttons:{a!buttonWidget(label:""Add Members"",disabled:or(local!actionTaken,local!navigationLength=0),value:""ADD"",saveInto:{ri!btnAction,a!save(ri!addedToGroup,if(/*Iftheuserhasnotnavigatedanywhere,ortheuserhasclickedonauserinthefirstcolumn,savetheintialgroup*/or(local!navigationLength=0,and(local!navigationLength=1,local!isUserSelected)),ri!initialGroup,if(/*Ifauserisselectedsavethelastgroupinthepath*/local!isUserSelected,togroup(ri!navigationPath[local!navigationLength-1])/*Otherwisesavetheendofthepath*/togroup(ri!navigationPath[local!navigationLength]))))}),a!buttonWidget(label:""Remove Member"",value:""REMOVE"",saveInto:{ri!btnAction,a!save(ri!userToRemove,local!selectionValue),/*Sinceauserneedstoberemovedfromagroup,thebuttonneedstodeterminewhatgrouptheusershouldberemovedfrom.*/a!save(ri!removeFromGroup,if(/*Iftheuserisonthefirstcolumn,savetheinitialgroup*/local!navigationLength=1,ri!initialGroup,/*Otherwisesavethegroupcontainingtheselecteduser*/ri!navigationPath[local!navigationLength-1])),/*Thisnavigationpathwillbeusedtopre-populatethegroupbrowserwhentheuserreturnstothisinterfaceaftertheselecteduserhasbeenremoved.Therefore,wemustremovetheselecteduserfromthenavigationpathtopreventanerror.*/a!save(ri!navigationPath,rdrop(ri!navigationPath,1))},disabled:or(local!actionTaken,not(local!isUserSelected)),submit:true),a!buttonWidget(label:""Move Member"",style:""NORMAL"",disabled:or(local!actionTaken,not(local!isUserSelected)),value:""MOVE"",saveInto:{ri!btnAction,a!save(ri!userToMove,local!selectionValue),/*Sinceauserneedstoberemovedfromagroup,thebuttonneedstodeterminewhatgrouptheusershouldberemovedfrom.*/a!save(ri!moveFromGroup,if(/*Iftheuserisinthefirstcolumnsavetheinitialgroup.*/local!navigationLength=1,ri!initialGroup,/*Otherwisesavethelastgroupinthenavigationpath*/ri!navigationPath[local!navigationLength-1])),a!save(ri!navigationPath,rdrop(ri!navigationPath,1)),a!save(ri!moveToGroup,ri!moveFromGroup)})}),/*Afterselectingamembertomove,theinterfaceneedstoallowtheusertoselectagrouptomovethememberto.Tolimitwhatcanbeselectedtoagroupandnotauser,weswitchthecomponenttoagroupbrowser*/a!groupBrowserFieldColumns(labelPosition:""COLLAPSED"",showWhen:ri!btnAction=""MOVE"",rootGroup:ri!initialGroup,pathValue:ri!navigationPath,pathSaveInto:ri!navigationPath,selectionValue:ri!moveToGroup,selectionSaveInto:ri!moveToGroup),/*Unlesstheuserisintheprocessofmovingmembers,theuserhastheoptiontoselectausertomoveorremoveoragrouptoaddmembersto.*/a!userAndGroupBrowserFieldColumns(labelPosition:""COLLAPSED"",showWhen:not(ri!btnAction=""MOVE""),rootGroup:ri!initialGroup,pathValue:ri!navigationPath,pathSaveInto:ri!navigationPath,selectionValue:local!selectionValue,selectionSaveInto:local!selectionValue,readOnly:or(ri!btnAction=""ADD"",ri!btnAction=""REMOVE"")),/*Navigationcannotbeclearedwithoutconfiguration,sothislinkletstheuseraddmemberstotheinitialgroup.*/a!linkField(labelPosition:""COLLAPSED"",showWhen:not(local!actionTaken),links:{a!dynamicLink(label:""+ Add Users to ""&group(ri!initialGroup,""groupName""),value:""ADD"",saveInto:{ri!btnAction,a!save(ri!addedToGroup,ri!initialGroup)})})}),a!sectionLayout(label:""Add Users to ""&group(ri!addedToGroup,""groupName""),showWhen:ri!btnAction=""ADD"",contents:{a!pickerFieldUsers(label:""Users to Add"",value:ri!usersToAdd,saveInto:a!save(ri!usersToAdd,getdistinctusers(save!value)),required:true)}),a!sectionLayout(label:""Move User"",showWhen:ri!btnAction=""MOVE"",contents:{a!richTextDisplayField(labelPosition:""COLLAPSED"",value:{""Move "",a!richTextItem(text:user(ri!userToMove,""firstName"")&"" ""&user(ri!userToMove,""lastName""),style:""STRONG""),"" from "",a!richTextItem(text:group(ri!moveFromGroup,""groupName""),style:""STRONG""),"" to""},readOnly:true),a!pickerFieldGroups(labelPosition:""COLLAPSED"",groupFilter:ri!initialGroup,value:ri!moveToGroup,saveInto:ri!moveToGroup,required:true)}),a!buttonLayout(showWhen:local!actionTaken,primaryButtons:{a!buttonWidget(label:if(ri!btnAction=""ADD"",""Add Users"",""Move User""),style:""PRIMARY"",disabled:if(ri!btnAction=""MOVE"",or(ri!moveFromGroup=ri!moveToGroup,isnull(ri!moveToGroup)),if(isnull(ri!usersToAdd),true,length(ri!usersToAdd)=0)),submit:true)},secondaryButtons:{/*Allowstheusertocanceltheselectedaction.Iftheusercancelsoutoftheaction,weneedtoclearalltheselectionvariables*/a!buttonWidget(label:""Cancel"",style:""NORMAL"",showWhen:local!actionTaken,value:null,saveInto:{ri!btnAction,ri!userToMove,ri!userToRemove,ri!addedToGroup,ri!removeFromGroup,ri!moveFromGroup,ri!moveToGroup,ri!usersToAdd,local!selectionValue})})},buttons:a!buttonLayout(primaryButtons:{a!buttonWidget(label:""Close"",value:""CLOSE"",saveInto:ri!btnAction,submit:true,validate:false)})))"
12,Configure a record action with the [Sync Records](Sync_Records_Smart_Service.md) smart service so users can sync a set of records on demand.,"a!queryRecordType(recordType:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order',fields:{'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{262bb249-cf34-4171-a573-54831d0958dd}orderId'},filters:a!queryLogicalExpression(operator:""AND"",filters:{a!queryFilter(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.relationships.{ae938f73-f61f-483d-8ca0-65d3c911abae}salesRegion.fields.{2aadab0c-4cbe-4ed4-ad0a-d6da6e08e2f2}name',operator:""="",value:""Northwest""),a!queryFilter(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{fbcc99f6-1ddf-4923-903b-18122a1737c6}orderDate',operator:""between"",value:/*Month-to-Date*/{toDatetime(eomonth(today(),-1)+1),now()})},ignoreFiltersWithEmptyValues:true),pagingInfo:a!pagingInfo(startIndex:1,batchSize:500)).data['recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{262bb249-cf34-4171-a573-54831d0958dd}orderId']"
13,"Allow users to choose from a long text array using an autocompleting picker, but also allow them to see the entire choice set using a dropdown.","a!localVariables(local!matches:where(a!forEach(items:ri!labels,expression:search(ri!filter,fv!item))),a!dataSubset(data:index(ri!labels,local!matches),identifiers:index(ri!identifiers,local!matches)))"
14,"Alert the user about form problems that aren't specific to one component, showing the message only when the user clicks ""Submit"".","a!localVariables(local!phone,local!email,a!formLayout(label:""Example: Showing Form Errors on Submission"",contents:{a!textField(label:""Phone Number"",value:local!phone,saveInto:local!phone),a!textField(label:""Email Address"",value:local!email,saveInto:local!email)},buttons:a!buttonLayout(primaryButtons:a!buttonWidget(label:""Submit"",submit:true)),/**Thisvalidationoccursattheformlevelandisusefulwhentheformor*section's validation checks are non-field specific.
    */
    validations: {
      if(
        and(isnull(local!phone), isnull(local!email)),
        a!validationMessage(
          message: ""Youmustentereitheraphonenumberoranemailaddress!"",
          validateAfter: ""SUBMIT""
        ),
        {}
      )
    }
  )
)
"
15,Delete one or more rows of data in a read-only grid.,"a!localVariables(/*Thisvariablestoresthegrid's selection. */
  local!selection,
  /* This variable stores the row information for the grid'sselection.*/local!selectedRows,/*ThisvariablestorestheIDsoftherowsthatwereremovedviatheREMOVEbuttontofilteroutthoserowsfromthegrid.ItcanalsobeusedtopasstheseIDstoaprocesstoremovethemfromthesourceentity.*/local!removedIds,{a!buttonArrayLayout(buttons:{a!buttonWidget(label:""REMOVE"",saveinto:{/*AppendtheselectedrowsIDstothelocal!removedIdsvariable.*/a!save(local!removedIds,append(local!removedIds,local!selectedRows[recordType!Employee.fields.id])),/*Resetlocal!selectedRowssootherrowscanberemoved.*/a!save(local!selectedRows,null),/*Resetthegridselectionaswell.*/a!save(local!selection,null)},style:""NORMAL"",/*Disablethebuttoniflocal!selectedRowsisempty.*/disabled:if(or(isnull(local!selectedRows),length(local!selectedRows)<1),true,false))},align:""START""),a!gridField(label:""Grid with Removable Rows"",/*TherecordDatafunctionallowsustofiltertherecorddata.*/data:a!recordData(recordType:recordType!Employee,/*ThisqueryfilterappliestoallrowswheretherowIDisfoundinlocal!removedRows.*/filters:a!queryFilter(field:recordType!Employee.fields.id,operator:if(isnull(local!removedIds),""not null"",""not in""),value:local!removedIds)),columns:{a!gridColumn(label:""ID"",sortField:recordType!Employee.fields.id,value:fv!row[recordType!Employee.fields.id],align:""END"",width:""ICON""),a!gridColumn(label:""First Name"",sortField:recordType!Employee.fields.firstName,value:fv!row[recordType!Employee.fields.firstName]),a!gridColumn(label:""lastName"",sortField:recordType!Employee.fields.lastName,value:fv!row[recordType!Employee.fields.lastName]),a!gridColumn(label:""Department"",sortField:recordType!Employee.fields.department,value:fv!row[recordType!Employee.fields.department]),a!gridColumn(label:""Title"",sortField:recordType!Employee.fields.title,value:fv!row[recordType!Employee.fields.title])},selectable:true,selectionStyle:""ROW_HIGHLIGHT"",selectionValue:local!selection,selectionSaveInto:{local!selection,/*Addrowdatatolocal!selectedRowslistwhenthatrowisselectedbytheuser.*/a!save(local!selectedRows,append(local!selectedRows,fv!selectedRows)),/*Removerowdatafromlocal!selectedRowswhenthatrowisdeselectedbytheuser.*/a!save(local!selectedRows,difference(local!selectedRows,fv!deselectedRows))},showSearchBox:false,showRefreshButton:false)})"
16,Display a hierarchical data browser.,"a!localVariables(/*Thisissampledatafortherecipe.Inyourcolumnsbrowsercomponent,you'll use data from other sources, like records or entities.
  */
  local!regions:{
    'type!{urn:com:appian:types}EXAMPLE_Region'( id: 1, name: ""NorthAmerica"" ),
    'type!{urn:com:appian:types}EXAMPLE_Region'( id: 2, name: ""SouthAmerica"" ),
    'type!{urn:com:appian:types}EXAMPLE_Region'( id: 3, name: ""EMEA"" ),
    'type!{urn:com:appian:types}EXAMPLE_Region'( id: 4, name: ""APAC"" )
  },
  local!accountExecs:{
    'type!{urn:com:appian:types}EXAMPLE_AccountExec'( id: 1, firstName: ""Susan"",  lastName: ""Taylor"", regionId: 1 ),
    'type!{urn:com:appian:types}EXAMPLE_AccountExec'( id: 2, firstName: ""Sharon"", lastName: ""Hill"",   regionId: 3 ),
    'type!{urn:com:appian:types}EXAMPLE_AccountExec'( id: 3, firstName: ""Kevin"",  lastName: ""Singh"",  regionId: 2 ),
    'type!{urn:com:appian:types}EXAMPLE_AccountExec'( id: 4, firstName: ""Daniel"", lastName: ""Lewis"",  regionId: 3 )
  },
  local!customers:{
    'type!{urn:com:appian:types}EXAMPLE_Customer'( id: 1, name: ""Lebedev"",         accountExecId: 2 ),
    'type!{urn:com:appian:types}EXAMPLE_Customer'( id: 2, name: ""ParsecExpress"",  accountExecId: 3 ),
    'type!{urn:com:appian:types}EXAMPLE_Customer'( id: 3, name: ""DengarDynamics"", accountExecId: 2 ),
    'type!{urn:com:appian:types}EXAMPLE_Customer'( id: 4, name: ""Almach"",          accountExecId: 1 )
  },
  local!path,
  local!selection,
  a!sectionLayout(
    contents:{
      a!hierarchyBrowserFieldColumns(
        label: ""InterfaceRecipe:ColumnsBrowser"",
        /*
        This data comes from a local variable for the recipe. Substitute your
        rule here when you make your own columns browser component.
        */
        firstColumnValues: local!regions,
        /*
        This is where you specify how a node appears in the browser given
        its type. If the node is a region, show the name field. If the node 
        is an account executive, show the first name and last name fields.
        */
        nodeConfigs: if(
          typeof(fv!nodeValue) = 'type!{urn:com:appian:types}EXAMPLE_Region',      
          a!hierarchyBrowserFieldColumnsNode(
            id: fv!nodeValue.id,
            label: fv!nodeValue.name,
            image: a!documentImage(document: a!iconIndicator(""HARVEY_0""))
          ),
          if(
            typeof(fv!nodeValue) = 'type!{urn:com:appian:types}EXAMPLE_AccountExec',
            a!hierarchyBrowserFieldColumnsNode(
              id: fv!nodeValue.id,
              label: fv!nodeValue.firstName & """" & fv!nodeValue.lastName,
              image: a!documentImage(document: a!iconIndicator(""HARVEY_50""))
            ),
            if(
              typeof(fv!nodeValue)='type!{urn:com:appian:types}EXAMPLE_Customer',
              a!hierarchyBrowserFieldColumnsNode(
                id: fv!nodeValue.id,
                label: fv!nodeValue.name,
                image: a!documentImage(document: a!iconIndicator(""HARVEY_100"")),
                isDrillable: false
              ),
              {}
            )
          )
        ),
        pathValue: local!path,
        pathSaveInto: local!path,
        nextColumnValues: if(     
          /*
          Check to see if the node is a region. If so, look up account 
          executives for that region. Substitute your type and rule here.
          */    
          typeof(fv!nodeValue)='type!{urn:com:appian:types}EXAMPLE_Region',
          index(local!accountExecs, wherecontains(fv!nodeValue.id, local!accountExecs.regionId), {}),
          if(          
            /*
            Check to see if the node is an account executive. If so, look up customers 
            for that account executive. Substitute your type and rule here.
            */       
            typeof(fv!nodeValue)='type!{urn:com:appian:types}EXAMPLE_AccountExec',
            index(local!customers, wherecontains(fv!nodeValue.id, local!customers.accountExecId), {}),
            {}
          )
        ),
        selectionValue: local!selection,
        selectionSaveInto: local!selection,
        height: ""SHORT""
      ),
      a!textField(
        label: ""path"",
        instructions: typename(typeof(local!path)),
        value: local!path,
        readOnly: true
      ),
      a!textField(
        label: ""selection"",
        instructions: typename(typeof(local!selection)),
        value: local!selection,
        readOnly: true
      )
    }
  )
)
"
17,"Aggregate data and conditionally display it in a pie chart or grid. In this pattern, we will calculate the total number of employees in each department and display it in a pie chart and a read-only grid. Then, we'll use a link field to conditionally display each component.","a!localVariables(/*ThisvariableissettotrueinitiallyandisreferencedintheshowWhenparametersforthepiechartandinverselyinthegrid.Thedynamiclinkattheendreversesthisvalueonclick.*/local!displayAsChart:true,/*Sincewewanttopassthedatatothepiechartandthegrid,wequeryforthedatainalocalvariable.Otherwise,wewouldjustquerydirectlyfromthedataparameterofthegridField().*/local!datasubset:a!queryRecordType(recordType:recordType!Employee,fields:a!aggregationFields(groupings:a!grouping(field:recordType!Employee.fields.department,alias:""department""),measures:a!measure(field:recordType!Employee.fields.id,function:""COUNT"",alias:""id_count"")),pagingInfo:a!pagingInfo(startIndex:1,batchSize:5000)),{a!pieChartField(series:{a!forEach(items:local!datasubset.data,expression:a!chartSeries(label:fv!item.department,data:fv!item.id_count))},colorScheme:""BERRY"",style:""DONUT"",seriesLabelStyle:""LEGEND"",/*Sincetheinitialvalueistrue,thepiechartdisplaysonload.Wecouldchangetheinitialvalueoflocal!displayAsCharttoswapthatbehaviorwithouthavingtootherwisechangethelogicofthisinterface.*/showWhen:local!displayAsChart),a!gridField(data:local!datasubset.data,columns:{a!gridColumn(label:""Department"",sortField:""department"",value:fv!row.department),a!gridColumn(label:""Total"",sortField:""id_count"",value:fv!row.id_count)},/*Herethegridonlyshowswhenlocal!displayAsChartisnottrue.*/showWhen:not(local!displayAsChart),rowHeader:1),a!linkField(labelPosition:""COLLAPSED"",links:a!dynamicLink(label:""Show as ""&if(local!displayAsChart,""Grid"",""Chart""),/*Thenot()functionsimplyconvertsatruetofalse,orfalsetotrue,whichsimplifiesthetogglebehavior.*/value:not(local!displayAsChart),saveInto:local!displayAsChart),align:""CENTER"")})"
18,Automatically update a variable when its dependencies change until the user saves their own value into that variable.,"a!localVariables(local!startDate:today(),local!endDateEdited:false,local!endDate:a!refreshVariable(value:local!startDate+7,refreshOnReferencedVarChange:not(local!endDateEdited)),{a!dateField(label:""Start Date"",value:local!startDate,saveInto:local!startDate),a!dateField(label:""End Date"",value:local!endDate,saveInto:{local!endDate,a!save(local!endDateEdited,true)})})"
19,Set the default value of a variable based on what the user enters in another component.,"a!localVariables(local!username,local!email,local!emailModified:false,a!formLayout(label:""Example: Default Value Based on User Input"",contents:{a!textField(label:""Username"",instructions:""Value saved: ""&local!username,value:local!username,saveInto:{local!username,if(local!emailModified,{},a!save(local!email,append(save!value,""@example.com"")))},refreshAfter:""KEYPRESS""),a!textField(label:""Email"",instructions:""Value saved: ""&local!email,value:local!email,saveInto:{local!email,a!save(local!emailModified,true)})},buttons:a!buttonLayout(primaryButtons:a!buttonWidget(label:""Submit"",submit:true))))"
20,Dynamically show a star rating based on a numeric score.,"a!localVariables(local!score:5.88,local!limit:10,a!richTextDisplayField(value:{a!forEach(items:enumerate(local!limit)+1,expression:a!richTextIcon(color:""ACCENT"",icon:if(fv!index<=local!score,""star"",if(fv!index-1<local!score,""star-half-o"",""star-o""))))}))"
21,"Allow end users to click a link in a read-only grid to view the details for the row, and make changes to the data.","=webservicequery(a!wsConfig(wsdlUrl:""http://localhost:8080/axis2/services/CorporateDirectoryService?wsdl"",service:""{http://bindrecipe.services.ws.appiancorp.com}CorporateDirectoryService"",port:""CorporateDirectoryServiceHttpSoap12Endpoint"",operation:""{http://bindrecipe.services.ws.appiancorp.com}getEmployees""),{getEmployeesRequest:{}}).returnValue.getEmployeesResponse.return"
22,Divide a big form into sections presented one step at a time with validation.,"a!localVariables(local!employee:a!map(firstName:null,lastName:null,department:null,title:null,phoneNumber:null,startDate:null),local!currentStep:1,a!formLayout(label:""Example: Onboarding Wizard"",contents:{a!columnsLayout(columns:{a!columnLayout(contents:{a!textField(label:""First Name"",labelPosition:if(local!currentStep=3,""ADJACENT"",""ABOVE""),value:local!employee.firstName,saveInto:local!employee.firstName,readOnly:local!currentStep=3,required:not(local!currentStep=3),showWhen:or(local!currentStep={1,3})),a!textField(label:""Last Name"",labelPosition:if(local!currentStep=3,""ADJACENT"",""ABOVE""),value:local!employee.lastName,saveInto:local!employee.lastName,readOnly:local!currentStep=3,required:not(local!currentStep=3),showWhen:or(local!currentStep={1,3})),a!textField(label:""Phone Number"",labelPosition:if(local!currentStep=3,""ADJACENT"",""ABOVE""),value:local!employee.phoneNumber,saveInto:local!employee.phoneNumber,readOnly:local!currentStep=3,required:not(local!currentStep=3),showWhen:or(local!currentStep={2,3}))}),a!columnLayout(contents:{a!textField(label:""Department"",labelPosition:if(local!currentStep=3,""ADJACENT"",""ABOVE""),value:local!employee.department,saveInto:local!employee.department,readOnly:local!currentStep=3,required:not(local!currentStep=3),showWhen:or(local!currentStep={1,3})),a!textField(label:""Title"",labelPosition:if(local!currentStep=3,""ADJACENT"",""ABOVE""),value:local!employee.title,saveInto:local!employee.title,readOnly:local!currentStep=3,required:not(local!currentStep=3),showWhen:or(local!currentStep={1,3})),a!dateField(label:""Start Date"",labelPosition:if(local!currentStep=3,""ADJACENT"",""ABOVE""),value:local!employee.startDate,saveInto:local!employee.startDate,readOnly:local!currentStep=3,required:not(local!currentStep=3),showWhen:or(local!currentStep={2,3}))})})},buttons:a!buttonLayout(primaryButtons:{a!buttonWidget(label:""Go Back"",value:local!currentStep-1,saveInto:local!currentStep,showWhen:or(local!currentStep={2,3})),a!buttonWidget(label:if(local!currentStep=1,""Next"",""Go to Review""),value:local!currentStep+1,saveInto:local!currentStep,validate:true,showWhen:or(local!currentStep={1,2})),a!buttonWidget(label:""Onboard Employee"",style:""PRIMARY"",submit:true,showWhen:local!currentStep=3)})))"
23,Allow a user to save their preferred filter on a report and automatically load it when they revisit the report later.,"a!localVariables(local!persistedFilterData:a!queryEntity(entity:cons!CSRS_FILTER_ENTITY,query:a!query(filter:a!queryFilter(field:""username"",operator:""="",value:loggedInUser()),pagingInfo:a!pagingInfo(startIndex:1,batchSize:1)),fetchTotalCount:true),local!persistedFilter:if(local!persistedFilterData.totalCount=0,/*There's no existing filter for this user, so create a new one */
    'type!{urn:com:appian:types}SupportRequestReportFilter'(username: loggedInUser()),
    cast('type!{urn:com:appian:types}SupportRequestReportFilter', local!persistedFilterData.data[1])
  ),
  local!saveFilterError: false,
  /* Store the current filter separate from the persisted filter so we know when they are the same */
  local!filter: local!persistedFilter,
  local!allPriorities: rule!CSRS_GetAllPriority().value,
  local!allStatuses: rule!CSRS_GetAllStatus().value,
  local!pagingInfo: a!pagingInfo(1, -1, a!sortInfo(""createdOn"", false)),
  local!filterChanged: not(exact(local!persistedFilter, local!filter)),
  /* Data that will be displayed in the grid given the *
   * current search terms and applied filters          */
  {
    a!sectionLayout(
      contents:{
        a!columnsLayout(
          columns:{
            a!columnLayout(
              contents:{
                a!dropdownField(
                  label: ""Priority"",
                  labelPosition: ""ADJACENT"",
                  placeholder: ""AllPriorities"",
                  choiceLabels: local!allPriorities,
                  choiceValues: local!allPriorities,
                  value: local!filter.priority,
                  saveInto: local!filter.priority
                ),
                a!dropdownField(
                  label: ""Status"",
                  labelPosition: ""ADJACENT"",
                  placeholder: ""AllStatuses"",
                  choiceLabels: local!allStatuses,
                  choiceValues: local!allStatuses,
                  value: local!filter.status,
                  saveInto: local!filter.status
                )
              }
            ),
            a!columnLayout(
              contents:{
                a!buttonLayout(
                  secondaryButtons: {
                    if(
                      local!saveFilterError,
                      a!buttonWidget(
                        label: ""Couldnotsavefilters"",
                        disabled: true
                      ),
                      a!buttonWidget(
                        label: ""SaveFilters"",
                        disabled: not(local!filterChanged),
                        saveInto: a!writeToDataStoreEntity(
                          dataStoreEntity: cons!CSRS_FILTER_ENTITY,
                          valueToStore: local!filter,
                          onSuccess: {
                            a!save(local!persistedFilter, local!filter)
                          },
                          onError: {
                            a!save(local!saveFilterError, true)
                          }
                        )
                      )
                    )
                  }
                )
              }
            )
          }
        )
      }
    ),
    a!gridField(
      emptyGridMessage: ""NoSupportRequestsavailable"",
      data: a!queryEntity(
        entity: cons!CSRS_SUPPORT_REQUEST_DSE,
        query: a!query(
          selection: a!querySelection(
            columns: {
              a!queryColumn(field: ""id""),
              a!queryColumn(field: ""title""),
              a!queryColumn(field: ""status""),
              a!queryColumn(field: ""priority"")
            }
          ),
          logicalExpression: a!queryLogicalExpression(
            operator: ""AND"",
            filters: {
              a!queryFilter(
                field: ""status.value"",
                operator: ""="",
                value: local!filter.status
              ),
              a!queryFilter(
                field: ""priority.value"",
                operator: ""="", value:
                local!filter.priority
              )
            },
            ignoreFiltersWithEmptyValues: true
          ),
          pagingInfo: fv!pagingInfo
        ),
        fetchTotalCount: true
      ),
      columns: {
        a!gridColumn(
          label: ""Title"",
          sortField: ""title"",
          value: fv!row.title
        ),
        a!gridColumn(
          label: ""Status"",
          sortField: ""status.value"",
          value: index(fv!row.status, ""value"", {})
        ),
        a!gridColumn(
          label: ""Priority"",
          sortField: ""priority.value"",
          value: a!imageField(
            images: rule!CSRS_GetIconForPriority(index(fv!row.priority, ""value"", {}))
          ),
          width: ""NARROW"",
          align: ""CENTER""
        ),
        /*a!gridColumn(*/
        /*label: ""Priority"",*/
        /*sortField: ""priority.value"",*/
        /*value: a!richTextDisplayField(*/
        /*value: a!richTextIcon(*/
        /*icon: displayvalue(*/
        /*index(fv!row.priority, ""value"", {}),*/
        /* Priority values */
        /*{""Low"", ""Medium"", ""High"", ""Critical""},*/
        /* Corresponding icons for each priority */
        /*{""arrow-circle-down"", ""arrow-circle-right"", ""arrow-circle-up"", ""exclamation-circle""},*/
        /*""circle""*/
        /*),*/
        /*size: ""MEDIUM"",*/
        /*color: if(*/
        /*contains(*/
        /*{""High"", ""Critical""},*/
        /*index(fv!row.priority, ""value"", {}),*/
        /*),*/
        /*""NEGATIVE"",*/
        /*""SECONDARY""*/
        /*)*/
        /*)*/
        /*),*/
        /*align: ""CENTER"",*/
        /*width: ""NARROW""*/
        /*)*/
      },
      rowHeader: 1
    )
  }
)
"
24,"Aggregate data, specifically the total number of employees in a given department, to display in a pie chart.","{a!pieChartField(data:recordType!Employee,config:a!pieChartConfig(primaryGrouping:a!grouping(field:recordType!Employee.fields.department,alias:""department_primaryGrouping""),measures:{a!measure(function:""COUNT"",field:recordType!Employee.fields.id,alias:""id_count_measure1"")},dataLimit:100),label:""Pie Chart"",labelPosition:""ABOVE"",colorScheme:""CLASSIC"",style:""PIE"",seriesLabelStyle:""ON_CHART"",height:""MEDIUM"",refreshAfter:""RECORD_ACTION"")}"
25,Show different dropdown options depending on the user selection.,"a!localVariables(local!selectedDepartment,local!selectedTitle,/**Hardcodedvaluesarestoredherethroughthechoosefunction.Typically*thisdatawouldlivewiththedepartmentinalookupvalue.Inthatcase*local!selectedDepartmentwouldactasafilteronthatquerytobring*backtitlesbydepartment.*/local!availableTitles:choose(if(isnull(local!selectedDepartment),1,local!selectedDepartment),{""CEO"",""CFO"",""COO"",""Executive Assistant""},{""Director"",""Quality Engineer"",""Manager"",""Software Engineer""},{""Accountant"",""Manager"",""Director""},{""Coordinator"",""Director"",""Manager""},{""Consultant"",""Principal Consultant"",""Senior Consultant""},{""Account Executive"",""Director"",""Manager""}),a!sectionLayout(label:""Example: Cascading Dropdowns"",contents:{a!dropdownField(label:""Department"",choiceLabels:{""Corporate"",""Engineering"",""Finance"",""Human Resources"",""Professional Services"",""Sales""},choiceValues:{1,2,3,4,5,6},placeholder:""-- Select a Department -- "",value:local!selectedDepartment,saveInto:{local!selectedDepartment,a!save(local!selectedTitle,null)}),a!dropdownField(label:""Title"",choiceLabels:local!availableTitles,choiceValues:local!availableTitles,placeholder:""--- Select a Title ---"",value:local!selectedTitle,saveInto:local!selectedTitle,disabled:isnull(local!selectedDepartment))}))"
26,"Show a text field that allows the user to enter dollar amounts including the dollar symbol and thousand separators, but save the value as a decimal rather than text. Additionally, always show the dollar amount with the dollar symbol.","a!localVariables(local!amount,a!textField(label:""Amount in Text"",/*Instructionsshowthesaveddatatype*/instructions:""Type of local!amount: ""&typename(typeof(local!amount)),value:if(isnull(local!amount),"""",dollar(local!amount)),/*Insteadofsavingthevalueastext,a!save()isusedtostoretothedesireddatatype*/saveInto:a!save(local!amount,todecimal(save!value))))"
