Function Name,Param Names,Param Descriptions
a!cmiCopyDocumentToAppian(),"a!cmiCopyDocumentToAppian(scsExternalSystemKey, usePerUserCredentials, atomPubUrl, repositoryId, objectId, appianDocument)",scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. atomPubUrl: The Atom Pub URL of the CMIS target system. repositoryId: The repository id on the CMIS target system. objectId: The object id of the CMIS document that will be copied to Appian. appianDocument: The Appian document to which the document from the CMIS system will be copied as a new version. 
a!cmiCopyDocumentToAppianFolder(),"a!cmiCopyDocumentToAppianFolder(scsExternalSystemKey, usePerUserCredentials, atomPubUrl, repositoryId, objectId, appianFolder)",scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. atomPubUrl: The Atom Pub URL of the CMIS target system. repositoryId: The repository id on the CMIS target system. objectId: The object id of the CMIS document that will be copied to Appian. appianFolder: The Appian folder to which the document from the CMIS system will be copied. 
a!cmiCreateFolder(),"a!cmiCreateFolder(scsExternalSystemKey, usePerUserCredentials, atomPubUrl, repositoryId, parentId, properties)","scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. atomPubUrl: The Atom Pub URL of the CMIS target system. repositoryId: The repository id on the CMIS target system. parentId: The object id of the CMIS folder which will be the parent of the new folder. Use null for root. properties: The CMIS folder properties, given as a dictionary. The string ""cmis:"" will automatically be included in the key name if no colon is present in key name. Example: {name: ""test name"", description: ""test description""} "
a!cmiDelete(),"a!cmiDelete(scsExternalSystemKey, usePerUserCredentials, atomPubUrl, repositoryId, objectId, allVersions)",scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. atomPubUrl: The Atom Pub URL of the CMIS target system. repositoryId: The repository id on the CMIS target system. objectId: The object id of the CMIS object to delete. allVersions: Determines if all versions of the object should be deleted when applicable. Default: true. 
a!cmiGetFolderChildren(),"a!cmiGetFolderChildren(scsExternalSystemKey, usePerUserCredentials, atomPubUrl, repositoryId, folderId, pagingInfo)","scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. atomPubUrl: The Atom Pub URL of the CMIS target system. repositoryId: The repository id on the CMIS target system. folderId: The object id of the CMIS folder. pagingInfo: The start index and batch size of the list of objects to retrieve, created with a!pagingInfo(). Unlike most indexes in Appian, the start index is 0-based instead of 1-based to match the indexing scheme used by CMIS. The sort values in the paging info are ignored. "
a!cmiGetObjectIdByPath(),"a!cmiGetObjectIdByPath(scsExternalSystemKey, usePerUserCredentials, atomPubUrl, repositoryId, path)","scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. atomPubUrl: The Atom Pub URL of the CMIS target system. repositoryId: The repository id on the CMIS target system. path: The CMIS path of the object. The meaning of the path is defined by the CMIS server. For example, /folder1/folder2/mydocument3. "
a!cmiGetProperties(),"a!cmiGetProperties(scsExternalSystemKey, usePerUserCredentials, atomPubUrl, repositoryId, objectId)",scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. atomPubUrl: The Atom Pub URL of the CMIS target system. repositoryId: The repository id on the CMIS target system. objectId: The object id of the CMIS object whose properties will be retrieved. 
a!cmiGetRepoInfo(),"a!cmiGetRepoInfo(scsExternalSystemKey, usePerUserCredentials, atomPubUrl, repositoryId)",scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. atomPubUrl: The Atom Pub URL of the CMIS target system. repositoryId: The repository id on the CMIS target system. 
a!httpAuthenticationBasic(),"a!httpAuthenticationBasic(username, password, preemptive)","username: The username to use during the authentication. Created with a!scsField(). password: The password to use during the authentication. Created with a!scsField(). preemptive: Determines whether or not authentication credentials are sent only after a 401 Not Authorized response or, when true, before the system has challenged. Default: false. "
a!httpFormPart(),"a!httpFormPart(name, contentType, value)","name: The form part name. contentType: The form part content type. This can be set to “auto-detect” to automatically detect the content type of a document value. value: The form part value. If the value is a document, it can be streamed by setting the contentType to “auto-detect”. "
a!httpHeader(),"a!httpHeader(name, value)",name: The header name. value: The header value. Either Text or a!scsField(). 
a!httpQueryParameter(),"a!httpQueryParameter(name, value)",name: The header name. value: The header value. Either Text or a!scsField(). 
a!scsField(),"a!scsField(externalSystemKey, fieldKey, usePerUser)","externalSystemKey: The key of the corresponding external system in the Third Party Credentials admin console page. fieldKey: The key for the field which stores the requested data. usePerUser: If true, the current user's credentials for the third party system will be used. If false, the system-wide credentials for the third party system will be used. Default: false. "
a!verifyRecaptcha(),"a!verifyRecaptcha(onSuccess, onError)",onSuccess: A list of saves to execute after reCAPTCHA executes successfully. Use fv!score to access the score returned by reCAPTCHA. Define conditional logic to protect your page based on whether the interaction is likely a bot or a human. A score of 1.0 is very likely a human while a score of 0.0 is very likely a bot. onError: A list of saves to execute after reCAPTCHA does not execute successfully. Use fv!error to access the returned error. 
a!sapBapiParameters(),"a!sapBapiParameters(scsExternalSystemKey, usePerUserCredentials, hostname, clientNumber, systemNumber, connectionProperties, bapi)","scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. hostname: The application server host of the SAP server (ASHOST). The value can be an IP address, a fully-qualified domain name, or SAP's router string format. For example, ""/H/sap_router/W/password/H/app_host/S/service_port"". clientNumber: The SAP client. For example, ""500"". systemNumber: The SAP system number. For example, ""10"". connectionProperties: The connection properties to use when creating the connection to the SAP instance, given as a dictionary. The dictionary fields are the camel-cased names of the properties with '.'s removed, and the values are the properties values to use. bapi: The name of the SAP BAPI for which the parameters will be listed. "
a!sapInvoke(),"a!sapInvoke(scsExternalSystemKey, usePerUserCredentials, hostname, clientNumber, systemNumber, connectionProperties, bapi, importParameters, tableParameters)","scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. hostname: The application server host of the SAP server (ASHOST). The value can be an IP address, a fully-qualified domain name, or SAP's router string format. For example, ""/H/sap_router/W/password/H/app_host/S/service_port"". clientNumber: The SAP client. For example, ""500"". systemNumber: The SAP system number. For example, ""10"". connectionProperties: The connection properties to use when creating the connection to the SAP instance, given as a dictionary. The dictionary fields are the camel-cased names of the properties with '.'s removed, and the values are the properties values to use. bapi: The name of the SAP BAPI to invoke. importParameters: The import parameters to send to the BAPI function, given as a dictionary. The dictionary fields are the import parameter names, and the values are the parameter values to send. tableParameters: The table parameters to send to the BAPI function, given as a dictionary. The dictionary values can also be given as dictionaries, allowing for the requisite table structure to be defined. "
a!sblCreate(),"a!sblCreate(scsExternalSystemKey, usePerUserCredentials, hostname, port, enterpriseApp, appManager, language, parameters, fieldValues)","scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. hostname: The application server host of the SAP server (ASHOST). The value can be an IP address, a fully-qualified domain name, or SAP's router string format. For example, ""/H/sap_router/W/password/H/app_host/S/service_port"". port: The port the Siebel server is listening on. For example, 2321. enterpriseApp: The enterprise application of the target system. For example, ""SBA_82"". appManager: The active application manager of the target system. For example, ""SSEObjMgr_enu"". language: The target system language. For example, ""enu"". parameters: The record to create, given as a dictionary with the field structure of the Siebel Business Component and Business Object to create. fieldValues: The field values of the new record to create, given as a dictionary with the field names based on the fields of the Business Object and values set to the desired new field values. "
a!sblDelete(),"a!sblDelete(scsExternalSystemKey, usePerUserCredentials, hostname, port, enterpriseApp, appManager, language, parameters)","scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. hostname: The application server host of the SAP server (ASHOST). The value can be an IP address, a fully-qualified domain name, or SAP's router string format. For example, ""/H/sap_router/W/password/H/app_host/S/service_port"". port: The port the Siebel server is listening on. For example, 2321. enterpriseApp: The enterprise application of the target system. For example, ""SBA_82"". appManager: The active application manager of the target system. For example, ""SSEObjMgr_enu"". language: The target system language. For example, ""enu"". parameters: The record to delete, given as a dictionary with the field structure of the Siebel Business Component and Business Object to delete. "
a!sblInvoke(),"a!sblInvoke(scsExternalSystemKey, usePerUserCredentials, hostname, port, enterpriseApp, appManager, language, businessService, method, parameters)","scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. hostname: The application server host of the SAP server (ASHOST). The value can be an IP address, a fully-qualified domain name, or SAP's router string format. For example, ""/H/sap_router/W/password/H/app_host/S/service_port"". port: The port the Siebel server is listening on. For example, 2321. enterpriseApp: The enterprise application of the target system. For example, ""SBA_82"". appManager: The active application manager of the target system. For example, ""SSEObjMgr_enu"". language: The target system language. For example, ""enu"". businessService: The name of the Siebel Business Service on which to invoke the method. method: The name of the method to invoke. parameters: The input parameters for the method, given as a dictionary where the parameter names are the dictionary field names and the parameter values are give as the dictionary field values. "
a!sblInvokeWriter(),"a!sblInvokeWriter(scsExternalSystemKey, usePerUserCredentials, hostname, port, enterpriseApp, appManager, language, businessService, method, parameters)","scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. hostname: The application server host of the SAP server (ASHOST). The value can be an IP address, a fully-qualified domain name, or SAP's router string format. For example, ""/H/sap_router/W/password/H/app_host/S/service_port"". port: The port the Siebel server is listening on. For example, 2321. enterpriseApp: The enterprise application of the target system. For example, ""SBA_82"". appManager: The active application manager of the target system. For example, ""SSEObjMgr_enu"". language: The target system language. For example, ""enu"". businessService: The name of the Siebel Business Service on which to invoke the method. method: The name of the method to invoke. parameters: The input parameters for the method, given as a dictionary where the parameter names are the dictionary field names and the parameter values are give as the dictionary field values. "
a!sblQuery(),"a!sblQuery(scsExternalSystemKey, usePerUserCredentials, hostname, port, enterpriseApp, appManager, language, sort, parameters)","scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. hostname: The application server host of the SAP server (ASHOST). The value can be an IP address, a fully-qualified domain name, or SAP's router string format. For example, ""/H/sap_router/W/password/H/app_host/S/service_port"". port: The port the Siebel server is listening on. For example, 2321. enterpriseApp: The enterprise application of the target system. For example, ""SBA_82"". appManager: The active application manager of the target system. For example, ""SSEObjMgr_enu"". language: The target system language. For example, ""enu"". sort: The sort order to apply to the query, given as a dictionary with field names based on the fields of the Business Object and values of ""ASCENDING"" or ""DESCENDING"". parameters: The records to query, given as a dictionary with the field structure of the Siebel Business Component and Business Object. "
a!sblUpdateFieldValue(),"a!sblUpdateFieldValue(scsExternalSystemKey, usePerUserCredentials, hostname, port, enterpriseApp, appManager, language, fieldValues, parameters)","scsExternalSystemKey: The key from the Third Party Credentials admin console page that corresponds to the set of credentials that should be used to authenticate. usePerUserCredentials: If true the credentials set in the Third-Party Credentials settings page by the current user running the expression will be used. If false the site-wide credential values will be used. hostname: The application server host of the SAP server (ASHOST). The value can be an IP address, a fully-qualified domain name, or SAP's router string format. For example, ""/H/sap_router/W/password/H/app_host/S/service_port"". port: The port the Siebel server is listening on. For example, 2321. enterpriseApp: The enterprise application of the target system. For example, ""SBA_82"". appManager: The active application manager of the target system. For example, ""SSEObjMgr_enu"". language: The target system language. For example, ""enu"". fieldValues: The field values of the new record to update, given as a dictionary with the field names based on the fields of the Business Object and values set to the desired new field values. parameters: The record on which the values will be set, given as a dictionary with the field structure of the Siebel Business Component and Business Object to create. The dictionary should contain an Id field with the value of identifier of the record to update. "
a!wsConfig(),"a!wsConfig(wsdlUrl, service, port, operation, wsdlCredentials, endpointcredentials, extensions)","wsdlUrl: The url of the WSDL for the web service. service: The service to invoke. The value that should be passed here is found in the WSDL for the web service as the value of the name attribute of the <wsdl:service> element. The name must be prefixed with the target namespace of the WSDL, and that namespace must be surrounded by braces. For example, if the target namespace of the wsdl is ""http://example.org"" and the name attribute of the <wsdl:service> element is ""ExampleService,"" the value for this parameter would be {http://example.org}ExampleService. port: The port within the given service to invoke. The value that should be passed here is found in the WSDL as the value of the name attribute of the <wsdl:port> element within the selected <wsdl:service> element. For example, if the port name is ""ExampleSoap,"" the value for this parameter would be ExampleSoap. operation: The operation on the web service to invoke. The value that should be passed here is found in the WSDL as the value of the name attribute of the <wsdl:operation> element within the <wsdl:binding> element that corresponds to the selected <wsdl:port> element. The name must be prefixed with the target namespace of the WSDL, and that namespace must be surrounded by braces. For example, if the target namespace of the wsdl is ""http://example.org"" and the name attribute of the <wsdl:operation> element is ""echoHello,"" the value for this parameter would be {http://example.org}echoHello. wsdlCredentials: If the WSDL requires authentication credentials in order to access it, they must be provided as this parameter. Use the a!wsHttpCredentials system function to construct the value. endpointcredentials: If the web service endpoint requires authentication credentials in order to invoke the web service, they must be provided as this parameter. Use the a!wsHttpCredentials system function to construct the value. extensions: Additional configurations are provided in the extensions parameter. If the web service requires that certain HTTP Headers should be passed, an array of WsHttpHeaderField constructed using a!wsHttpHeaderField can be passed. If the web service requires that WS-Security UsernameToken be used, a single WsUsernameToken or WsUsernameTokenScs can be passed. "
a!wsHttpCredentials(),"a!wsHttpCredentials(username, password, domain)","username: The username used to authenticate. password: The password used to authenticate. domain: If the authentication scheme requires a domain, it is passed as this parameter. "
a!wsHttpHeaderField(),"a!wsHttpHeaderField(name, name)",name: The name of the header to add. name: The value of the header. 
a!wsUsernameToken(),"a!wsUsernameToken(username, password)",username: The username used to authenticate. password: The password used to authenticate. 
a!wsUsernameTokenScs(),"a!wsUsernameTokenScs(systemKey, usePerUser)","systemKey: The key of the corresponding external system in the secure credentials store. Credentials associated with this external system will be retrieved. usePerUser: If true, the current user's credentials for the external system will be used. If false, the system-wide credentials for the external system will be used. "
displayvalue(),"displayvalue(value, inArray, replacement, default)",value: The value to search for in the array. Will cast to the type of inArray. inArray: The array to be searched. replacement: The array of replacement values. default: The default value to be returned if the search value is not found. 
externalize(),externalize(value),value: Value to externalize. 
internalize(),"internalize(externalizedText, default)",externalizedText: Externalized representation of a value. default: Value to return if the text cannot be internalized or an error occurs. 
toboolean(),toboolean(value),value: Value to convert. 
tocommunity(),tocommunity(value),value: Value to convert. 
todate(),todate(value),value: Value to convert. 
todatetime(),todatetime(value),value: Value to convert. 
todecimal(),todecimal(value),value: Value to convert. 
todocument(),todocument(value),value: Value to convert. 
toemailaddress(),toemailaddress(value),value: Value to convert. 
toemailrecipient(),toemailrecipient(value),value: Value to convert. 
tofolder(),tofolder(value),value: Value to convert. 
tointeger(),tointeger(value),value: Value to convert. 
tointervalds(),tointervalds(value),value: Value to convert. 
toknowledgecenter(),toknowledgecenter(value),value: Value to convert. 
tostring(),tostring(value),value: Value to convert. 
totime(),totime(value),value: Value to convert. 
touniformstring(),touniformstring(value),value: Value to convert. 
a!customFieldConcat(),a!customFieldConcat(value),"value: An array of 2 to 10 values to concatenate. Values can be any combination of record fields, related record fields, custom field functions, or literal values of type Text, Number (Integer), User, or Group. "
a!customFieldCondition(),"a!customFieldCondition(field, operator, value)","field: The record field, related record field, or custom field function to be compared in the condition. Use the recordType! domain to reference a record field or related record field. For example, recordType!Case.fields.caseName. operator: The operator used to compare the field and value parameters. Valid values: ""="", ""<>"", "">"", "">="", ""<"", ""<="", ""between"", ""in"", ""not in"", ""is null"", ""not null"", ""starts with"", ""not starts with"", ""ends with"", ""not ends with"", ""includes"", ""not includes"". value: The value to compare to the given field using the given operator. This value must be a literal. "
a!customFieldMatch(),"a!customFieldMatch(value, equals, whenTrue, then, default)","value: The value to match. This value can be a record field, related record field, or custom field function. This value can be accessed in other parameters using the function variable fv!value. This parameter is required. equals: This value is considered a match if it equals the value parameter. This parameter is best to use when evaluating literal values (for example, 1 or ""Red""). Text values are case sensitive, so the casing must match that of the value parameter. whenTrue: The expression considered a match if it evaluates to true. Use a!customFieldCondition(), a!customFieldLogicalExpression(), or both to define your conditional logic. Alternatively, you can provide any custom field function or record field that returns a boolean. then: A record field, related record field, custom field function, or literal value to return when the equals or whenTrue parameter matches the value parameter. If you use multiple condition pairs, only the first match will be returned. All then parameters must be the same data type or compatible data types. Compatible data types include Number (Integer)/Number (Decimal) and Date/Date and Time. default: A record field, related record field, custom field function, or literal value to return if there are no equals or whenTrue parameters that match the value parameter. This parameter is required. "
a!customFieldDateDiff(),"a!customFieldDateDiff(startDate, endDate, interval)","startDate: The record field or expression that evaluates to a Date or Date and Time value to use in the date subtraction. endDate: The record field or expression that evaluates to a Date or Date and Time value to use in the date subtraction. interval: Determines whether the difference is calculated in days, hours, minutes, or seconds. Valid values are ""DAY"" (default), ""HOUR"", ""MINUTE"", ""SECOND"". "
a!customFieldDefaultValue(),"a!customFieldDefaultValue(value, default)","value: The record field or related record field to return if not null or empty. default: The record field, related record field, or literal value to return if not null or empty. This function accepts multiple default parameters, and each parameter will be evaluated in order until the first non-null and non-empty default is returned. "
a!customFieldDivide(),"a!customFieldDivide(numerator, denominator)","numerator: The record field, related record field, or literal value to divide. denominator: The record field, related record field, or literal value by which the numerator is divided. "
a!customFieldLogicalExpression(),"a!customFieldLogicalExpression(operator, conditions)","operator: Determines how a set of conditions are evaluated. Valid values: ""AND"" and ""OR"". conditions: A list of a!customFieldLogicalExpression(), a!customFieldCondition(), or both. Alternatively, you can provide any custom field function or record field that returns a boolean. You can reference record fields or related record fields using the recordType! domain. You can also use fv!value to access the value parameter from a!customFieldMatch(). "
a!customFieldMatch(),"a!customFieldMatch(value, equals, whenTrue, then, default)","value: The value to match. This value can be a record field, related record field, or custom field function. This value can be accessed in other parameters using the function variable fv!value. This parameter is required. equals: This value is considered a match if it equals the value parameter. This parameter is best to use when evaluating literal values (for example, 1 or ""Red""). Text values are case sensitive, so the casing must match that of the value parameter. whenTrue: The expression considered a match if it evaluates to true. Use a!customFieldCondition(), a!customFieldLogicalExpression(), or both to define your conditional logic. Alternatively, you can provide any custom field function or record field that returns a boolean. then: A record field, related record field, custom field function, or literal value to return when the equals or whenTrue parameter matches the value parameter. If you use multiple condition pairs, only the first match will be returned. All then parameters must be the same data type or compatible data types. Compatible data types include Number (Integer)/Number (Decimal) and Date/Date and Time. default: A record field, related record field, custom field function, or literal value to return if there are no equals or whenTrue parameters that match the value parameter. This parameter is required. "
a!customFieldMatch(),"a!customFieldMatch(value, equals, whenTrue, then, default)","value: The value to match. This value can be a record field, related record field, or custom field function. This value can be accessed in other parameters using the function variable fv!value. This parameter is required. equals: This value is considered a match if it equals the value parameter. This parameter is best to use when evaluating literal values (for example, 1 or ""Red""). Text values are case sensitive, so the casing must match that of the value parameter. whenTrue: The expression considered a match if it evaluates to true. Use a!customFieldCondition(), a!customFieldLogicalExpression(), or both to define your conditional logic. Alternatively, you can provide any custom field function or record field that returns a boolean. then: A record field, related record field, custom field function, or literal value to return when the equals or whenTrue parameter matches the value parameter. If you use multiple condition pairs, only the first match will be returned. All then parameters must be the same data type or compatible data types. Compatible data types include Number (Integer)/Number (Decimal) and Date/Date and Time. default: A record field, related record field, custom field function, or literal value to return if there are no equals or whenTrue parameters that match the value parameter. This parameter is required. "
a!customFieldMultiply(),a!customFieldMultiply(value),"value: An array containing any combination of record fields, related record fields, or literal values to be multiplied. You must have at least two values in the array. "
a!customFieldSubtract(),"a!customFieldSubtract(value1, value2)","value1: The record field, related record field, or literal value from which value2 is subtracted. Valid data types include Number (Integer) or Number (Decimal). value2: The record field, related record field, or literal value to subtract. Valid data types include Number (Integer) or Number (Decimal). "
a!customFieldSum(),a!customFieldSum(value),"value: An array containing any combination of record fields, related record fields, or literal values to be summed. You must have at least two values in the array. "
a!addDateTime(),"a!addDateTime(startDateTime, years, months, days, hours, minutes, seconds, useProcessCalendar, processCalendarName)","startDateTime: The starting Date and Time value. Use the datetime() function to convert a given date and time into a serial number that holds the Date and Time data type. This parameter is required. years: The number of years to add to the start value. months: The number of months to add to the start value. days: The number of days to add to the start value. hours: The number of hours to add to the start value. minutes: The number of minutes to add to the start value. seconds: The number of seconds to add to the start value. useProcessCalendar: Determines if a process calendar is used to calculate the result. The returned value will fall within the work time defined in the calendar. Default is false. processCalendarName: The name of the process calendar to use. If useProcessCalendar is true and this parameter is not specified, the default process calendar is used. This parameter is case-sensitive. "
calisworkday(),"calisworkday(datetime, calendar_name)","datetime: The Date and Time to test. calendar_name: This optional parameter accepts the name of a system calendar; otherwise, the default calendar is used. "
calisworktime(),"calisworktime(datetime, calendar_name)","datetime: The Date and Time to test. calendar_name: This optional parameter accepts the name of a system calendar; otherwise, the default calendar is used. "
calworkdays(),"calworkdays(start_datetime, end_datetime, calendar_name)","start_datetime: The starting Date and Time. end_datetime: The ending Date and Time. calendar_name: This optional parameter accepts the name of a system calendar; otherwise, the default calendar is used. "
calworkhours(),"calworkhours(start_datetime, end_datetime, calendar_name)","start_datetime: The starting Date and Time. end_datetime: The ending Date and Time. calendar_name: This optional parameter accepts the name of a system calendar; otherwise, the default calendar is used. "
date(),"date(year, month, day)",year: The year of the date you would like to convert into a serial number. month: It month of the date in number format without leading zeros for a month with one digit. day: The day component of the date. 
datetime(),"datetime(year, month, day, hour, minute, second)","year: The year of the you would like to convert into a serial number. month: Only numbers are accepted, not month names. Do not include leading zeroes for a month with one digit. day: The day of the Date and Time. hour: The hour of the Date and Time. minute: The minute of the Date and Time. second: The seconds of the Date and Time. "
datevalue(),datevalue(value),value: Value to convert. 
day(),day(date),date: The date from which the day of the month will be extracted. 
dayofyear(),dayofyear(date),date: The date or datetime timestamp from which the day number will be extracted. 
days360(),"days360(start_date, end_date, method)","start_date: The starting date. end_date: The ending date. method: 1 for European, 0 for US/NASD. "
daysinmonth(),"daysinmonth(month, year)",month: The month number. year: The year number. 
edate(),"edate(starting_date, months)","starting_date: The starting date. months: The number of months to offset, where negative is before starting_date and positive is after starting_date. "
eomonth(),"eomonth(starting_date, months)","starting_date: The starting date. months: The number of months to offset, where negative is before starting_date and positive is after starting_date. "
gmt(),"gmt(datetime, timezone)",datetime: The base Date and Time to be modified. timezone: The time zone offset to subtract from the datetime parameter. 
hour(),hour(time),time: A time or date & time value from which the hour is extracted. 
intervalds(),"intervalds(hour, minute, second)",hour: The number of hours in the time duration. minute: The number of minutes in the time duration. second: The number of seconds in the time duration. 
isleapyear(),isleapyear(year),year: The year to test whether or not it qualifies as a leap year. 
lastndays(),"lastndays(date, n)",date: The base date. n: The number of days to test. 
local(),"local(datetime, timezone)",datetime: The base Date and Time to be modified. timezone: The time zone offset to add to the datetime parameter. 
milli(),milli(time),time: Time or Datetime timestamp from which to extract the milliseconds. 
minute(),"minute(time, minute)",time: The time from which the minute is extracted. minute:  
month(),month(date),date: The date from which the month is extracted. 
networkdays(),"networkdays(starting_date, ending_date, holidays)",starting_date: The starting date. ending_date: The ending date. holidays: A list of holidays not counted as workdays. 
now()(),now()(),
